Year,Month,Return
1988,11,0.0233
1988,12,0.0351
1989,1,0.033
1989,2,-0.0016
1989,3,0.0356
1989,4,0.0412
1989,5,0.0339
1989,6,0.028
1989,7,0.0469
1989,8,0.0046
1989,9,0.0029
1989,10,-0.0181
1989,11,0.0274
1989,12,-0.0221
1990,1,-0.0253
1990,2,0.0271
1990,3,0.002
1990,4,0.0385
1990,5,0.0317
1990,6,0.0017
1990,7,-0.0786
1990,8,-0.0434
1990,9,-0.0232
1990,10,0.0298
1990,11,0.0459
1990,12,-0.0069
1991,1,0.1161
1991,2,0.0304
1991,3,0.0226
1991,4,-0.0018
1991,5,0.0035
1991,6,0.0078
1991,7,0.0268
1991,8,-0.003
1991,9,0.0018
1991,10,0.0002
1991,11,0.0094
1991,12,0.0736
1992,1,-0.006
1992,2,-0.0101
1992,3,0.0026
1992,4,0.0207
1992,5,-0.0133
1992,6,0.0191
1992,7,0.0094
1992,8,0.0038
1992,9,-0.0118
1992,10,0.0276
1992,11,0.0327
1992,12,0.0014
1993,1,0.0172
1993,2,0.0215
1993,3,-0.0134
1993,4,0.0072
1993,5,0.0087
1993,6,0.0006
1993,7,0.0176
1993,8,0.0135
1993,9,0.0124
1993,10,0.0001
1993,11,0.0089
1993,12,0.0174
1994,1,-0.0008
1994,2,-0.0142
1994,3,-0.0335
1994,4,0.0106
1994,5,0.0111
1994,6,-0.0052
1994,7,0.0308
1994,8,0.0082
1994,9,-0.0044
1994,10,-0.0037
1994,11,-0.0103
1994,12,0.0245
1995,1,0.0382
1995,2,0.0256
1995,3,0.0322
1995,4,0.0335
1995,5,0.0318
1995,6,0.0355
1995,7,0.0051
1995,8,0.0372
1995,9,0.0091
1995,10,0.0236
1995,11,0.0339
1995,12,0.0016
1996,1,0.059
1996,2,-0.002
1996,3,0.002
1996,4,0.0235
1996,5,0.0128
1996,6,-0.0348
1996,7,0.0308
1996,8,0.0202
1996,9,0.0412
1996,10,0.0505
1996,11,0.012
1996,12,0.0326
1997,1,0.0436
1997,2,-0.0062
1997,3,-0.0341
1997,4,0.0922
1997,5,0.0534
1997,6,0.0574
1997,7,0.0035
1997,8,0.0119
1997,9,0.0165
1997,10,-0.0115
1997,11,0.0263
1997,12,0.0024
1998,1,0.064
1998,2,0.0531
1998,3,0.0341
1998,4,-0.0022
1998,5,0.0012
1998,6,0.0447
1998,7,-0.0697
1998,8,-0.049
1998,9,0.0129
1998,10,0.1097
1998,11,0.041
1998,12,0.0505
1999,1,-0.0007
1999,2,0.0292
1999,3,0.0425
1999,4,-0.001
1999,5,-0.0061
1999,6,0.0452
1999,7,-0.0377
1999,8,-0.006
1999,9,-0.0127
1999,10,0.0711
1999,11,0.0281
1999,12,-0.0012
2000,1,-0.0248
2000,2,0.0394
2000,3,0.0142
2000,4,-0.0284
2000,5,0.0316
2000,6,0.0085
2000,7,0.0094
2000,8,-0.0108
2000,9,-0.0521
2000,10,-0.0077
2000,11,-0.0332
2000,12,0.0046
2001,1,-0.0214
2001,2,-0.0908
2001,3,0.0045
2001,4,0.0688
2001,5,-0.0239
2001,6,-0.0266
2001,7,-0.0205
2001,8,-0.1125
2001,9,0.0318
2001,10,0.0505
2001,11,0.0147
2001,12,-0.003
2002,1,-0.0335
2002,2,0.0495
2002,3,-0.0351
2002,4,-0.0282
2002,5,-0.0592
2002,6,-0.1076
2002,7,0.0114
2002,8,-0.0476
2002,9,-0.0137
2002,10,0.0663
2002,11,-0.0104
2002,12,-0.0022
2003,1,-0.0641
2003,2,0.0131
2003,3,0.0529
2003,4,0.0531
2003,5,0.057
2003,6,0.006
2003,7,-0.0017
2003,8,0.0316
2003,9,0.0203
2003,10,0.0121
2003,11,0.0306
2003,12,0.0493
2004,1,0.0109
2004,2,-0.0157
2004,3,0.0097
2004,4,-0.0256
2004,5,0.0286
2004,6,-0.0224
2004,7,-0.0139
2004,8,0.0278
2004,9,0.001
2004,10,0.0477
2004,11,0.0273
2004,12,-0.0135
2005,1,0.0168
2005,2,-0.0026
2005,3,-0.0241
2005,4,0.0134
2005,5,0.0218
2005,6,0.0181
2005,7,0.0031
2005,8,0.0028
2005,9,-0.0262
2005,10,0.0396
2005,11,0.0214
2005,12,0.0147
2006,1,-0.0002
2006,2,0.0149
2006,3,0.008
2006,4,-0.0079
2006,5,-0.0271
2006,6,0.0072
2006,7,0.0229
2006,8,0.0253
2006,9,0.0362
2006,10,0.02
2006,11,0.0215
2006,12,0.0069
2007,1,0.016
2007,2,-0.0247
2007,3,0.0418
2007,4,0.0339
2007,5,0.0034
2007,6,0.0057
2007,7,-0.042
2007,8,0.0307
2007,9,0.0299
2007,10,-0.0481
2007,11,0.0124
2007,12,-0.0664
2008,1,-0.0156
2008,2,-0.0263
2008,3,0.0424
2008,4,0.0256
2008,5,-0.0425
2008,6,-0.0608
2008,7,0.0211
2008,8,-0.0485
2008,9,-0.2019
2008,10,-0.0861
2008,11,-0.0035
2008,12,-0.011
2009,1,-0.067
2009,2,-0.0569
2009,3,0.1232
2009,4,0.0666
2009,5,0.0287
2009,6,0.0128
2009,7,0.0812
2009,8,0.0365
2009,9,0.024
2009,10,0.0209
2009,11,0.0223
2009,12,0.0136
2010,1,-0.029
2010,2,0.0594
2010,3,0.0409
2010,4,-0.0588
2010,5,-0.0354
2010,6,-0.0016
2010,7,0.0086
2010,8,0.0337
2010,9,0.0458
2010,10,0.0249
2010,11,0.0371
2010,12,0.0346
2011,1,0.0315
2011,2,-0.0111
2011,3,0.0222
2011,4,0.0066
2011,5,-0.0366
2011,6,0.031
2011,7,-0.104
2011,8,-0.0079
2011,9,0.0302
2011,10,0.0177
2011,11,0.0155
2011,12,0.0478
2012,1,0.0416
2012,2,0.0288
2012,3,-0.0004
2012,4,-0.0309
2012,5,-0.0115
2012,6,0.0292
2012,7,0.0339
2012,8,0.0302
2012,9,-0.0022
2012,10,-0.0284
2012,11,0.0218
2012,12,0.0427
2013,1,0.0233
2013,2,0.0272
2013,3,0.0145
2013,4,0.0457
2013,5,-0.0112
2013,6,0.0325
2013,7,0.0025
2013,8,0.0119
2013,9,0.0212
2013,10,0.0386
2013,11,0.0152
2013,12,0.0097
2014,1,-0.0013
2014,2,0.0272
2014,3,0.002
2014,4,0.0153
2014,5,0.032
2014,6,0.015
2014,7,-0.0043
2014,8,0.0178
2014,9,-0.0265
2014,10,0.0571
2014,11,0.0063
2014,12,-0.0111