Years,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,PR
2015,2.52E-02,-8.84E-02,4.08E-02,1.42E-02,5.92E-02,3.61E-02,5.23E-02,5.21E-02,4.35E-02,6.67E-02,6.31E-02,5.81E-02,2.05E-02,3.70E-02,1.22E-02,4.16E-02,3.18E-02,2.89E-02,-2.34E-02,3.05E-02,4.81E-02,6.03E-02,5.14E-02,3.32E-02,1.55E-02,3.28E-02,3.16E-02,4.08E-02,6.70E-02,4.77E-02,3.76E-02,-2.07E-02,3.96E-02,5.33E-02,-6.56E-02,2.58E-02,-4.99E-02,6.67E-02,2.89E-02,3.36E-02,5.90E-02,2.75E-02,6.25E-02,-3.67E-03,4.93E-02,2.77E-02,4.00E-02,5.91E-02,-1.83E-02,3.99E-02,-4.67E-02,0.0091
2014,1.35E-02,-1.33E-02,3.26E-02,2.57E-02,5.17E-02,5.96E-02,2.10E-02,1.08E-01,4.26E-02,4.92E-02,5.45E-02,2.98E-02,4.43E-02,4.08E-02,5.07E-02,6.72E-02,3.95E-02,1.87E-02,4.29E-02,3.56E-02,3.58E-02,3.55E-02,3.32E-02,4.38E-02,1.88E-02,2.47E-02,3.41E-02,4.37E-02,2.97E-02,3.57E-02,1.62E-02,3.86E-02,4.79E-02,4.53E-02,1.04E-01,5.14E-02,7.63E-02,4.79E-02,3.83E-02,2.88E-02,5.05E-02,3.14E-02,3.48E-02,4.23E-02,4.95E-02,2.76E-02,1.65E-02,5.14E-02,1.63E-02,4.02E-02,2.60E-02,0.0000
2013,2.93E-02,-1.78E-02,2.63E-02,4.36E-02,5.08E-02,5.53E-02,2.51E-03,-1.02E-02,2.12E-02,4.27E-02,3.79E-02,3.68E-02,6.02E-02,2.03E-02,3.87E-02,2.31E-02,1.88E-02,3.58E-02,-1.93E-02,1.47E-02,2.42E-02,2.57E-02,3.45E-02,4.29E-02,1.91E-02,3.33E-02,3.18E-02,4.41E-02,2.14E-02,2.89E-02,3.28E-02,9.46E-03,2.81E-02,3.86E-02,4.70E-02,3.81E-02,4.47E-02,2.82E-02,3.19E-02,2.81E-02,4.16E-02,3.32E-02,3.33E-02,6.62E-02,4.58E-02,1.65E-03,2.62E-02,4.63E-02,1.65E-02,2.59E-02,1.12E-02,0.0087
2012,2.90E-02,2.44E-02,4.03E-02,2.58E-02,4.43E-02,3.48E-02,3.33E-02,1.60E-02,2.21E-02,3.09E-02,3.73E-02,4.08E-02,2.43E-02,4.84E-02,3.14E-02,6.78E-02,4.00E-02,3.82E-02,2.37E-02,2.10E-02,1.91E-02,4.09E-02,4.48E-02,3.93E-02,4.40E-02,3.61E-02,3.28E-02,2.81E-02,1.28E-02,3.54E-02,4.28E-02,9.91E-03,6.46E-02,3.10E-02,2.46E-01,3.32E-02,5.20E-02,2.33E-02,3.70E-02,2.74E-02,3.22E-02,4.80E-02,6.13E-02,5.95E-02,3.14E-02,2.89E-02,2.48E-02,5.52E-02,1.57E-02,4.03E-02,-2.25E-02,0.0121
2011,3.76E-02,6.68E-02,3.89E-02,4.22E-02,3.55E-02,3.57E-02,-6.57E-03,5.52E-02,3.38E-02,1.11E-02,3.24E-02,3.31E-02,2.43E-02,3.97E-02,3.11E-02,4.39E-02,6.04E-02,3.11E-02,2.06E-02,6.11E-03,3.67E-02,3.50E-02,3.72E-02,4.67E-02,2.42E-02,8.66E-03,6.94E-02,9.13E-02,2.41E-02,2.02E-02,6.50E-03,2.90E-02,1.97E-02,2.78E-02,1.66E-01,5.53E-02,7.74E-02,3.96E-02,3.32E-02,1.49E-02,3.75E-02,1.07E-01,4.67E-02,7.65E-02,5.81E-02,3.69E-02,1.92E-02,3.85E-02,4.90E-02,3.87E-02,5.50E-02,0.0200
2010,3.70E-02,6.75E-02,1.92E-02,4.08E-02,3.38E-02,2.82E-02,6.04E-03,5.42E-03,5.68E-02,1.56E-02,2.08E-02,3.60E-02,2.82E-02,2.55E-02,7.30E-02,3.90E-02,2.59E-02,5.67E-02,9.96E-02,2.22E-02,5.22E-02,5.28E-02,5.78E-02,4.63E-02,2.34E-02,2.57E-02,5.94E-02,5.40E-02,2.08E-02,3.71E-02,2.14E-02,2.61E-02,5.47E-02,2.16E-02,1.07E-01,3.78E-02,5.22E-02,2.84E-02,3.88E-02,3.70E-02,2.50E-02,3.90E-02,2.16E-02,6.53E-02,4.11E-02,5.01E-02,3.90E-02,4.06E-02,3.77E-02,3.73E-02,3.94E-02,0.0207
2009,-2.06E-02,-9.37E-02,-6.28E-02,-2.21E-02,-2.80E-02,-2.95E-02,-2.36E-02,4.31E-02,9.54E-03,-3.66E-02,-1.63E-02,-1.72E-02,-3.80E-02,-7.32E-03,-4.43E-02,-4.75E-03,-2.53E-02,-1.50E-02,-3.52E-02,8.10E-03,1.25E-02,-7.00E-04,-5.55E-02,-1.99E-02,-2.88E-02,-2.87E-03,-2.79E-02,1.45E-02,-6.49E-02,1.33E-02,-2.77E-02,-2.63E-02,3.89E-02,-1.82E-02,1.10E-02,-2.95E-02,-8.79E-02,-3.22E-02,-1.00E-02,8.98E-03,-1.26E-02,-4.65E-03,-7.51E-03,-6.00E-02,-2.73E-02,3.84E-03,1.57E-02,-1.00E-02,1.44E-02,1.60E-03,-1.53E-01,0.0293
2008,8.97E-03,1.12E-01,5.87E-03,1.35E-02,2.41E-02,4.20E-02,1.87E-02,-2.04E-02,6.09E-02,-2.47E-02,-7.69E-03,2.36E-02,4.20E-02,6.94E-03,7.42E-03,-2.77E-03,3.81E-02,1.73E-02,4.61E-02,5.03E-03,4.39E-02,3.24E-02,-4.69E-02,2.04E-02,3.64E-02,3.98E-02,2.74E-02,2.14E-02,-7.68E-03,-1.33E-03,4.50E-02,4.81E-02,-2.49E-03,4.31E-02,9.63E-02,-1.69E-03,1.03E-01,3.35E-02,3.92E-02,-1.34E-03,7.00E-03,4.36E-02,2.23E-02,4.47E-02,2.06E-02,4.85E-02,3.30E-02,3.73E-02,5.77E-02,3.97E-03,1.59E-01,0.0460
2007,3.91E-02,9.96E-02,6.28E-02,2.61E-02,4.78E-02,6.79E-02,6.72E-02,2.61E-02,6.42E-02,4.29E-02,3.35E-02,5.45E-02,5.49E-02,4.15E-02,5.36E-02,7.85E-02,8.58E-02,2.45E-02,-2.28E-02,2.88E-02,3.22E-02,5.36E-02,1.93E-02,3.87E-02,4.70E-02,3.36E-02,9.25E-02,6.37E-02,4.59E-02,2.94E-02,3.78E-02,4.11E-02,4.11E-02,3.60E-02,9.72E-02,3.11E-02,6.05E-02,3.90E-02,6.50E-02,2.89E-03,5.92E-02,8.37E-02,2.10E-02,7.97E-02,7.77E-02,1.92E-02,4.11E-02,8.83E-02,3.97E-02,3.48E-02,1.29E-01,0.0258
2006,4.80E-02,1.17E-01,7.92E-02,5.49E-02,6.69E-02,5.37E-02,7.09E-02,5.79E-02,3.84E-02,6.33E-02,4.23E-02,6.06E-02,5.10E-02,5.84E-02,4.61E-02,3.82E-02,8.12E-02,5.79E-02,4.10E-02,4.18E-02,4.60E-02,5.05E-02,4.00E-03,2.82E-02,5.64E-02,3.69E-02,7.42E-02,5.70E-02,8.33E-02,5.38E-02,5.02E-02,5.00E-02,5.82E-02,9.02E-02,7.29E-02,2.95E-02,9.88E-02,7.03E-02,3.82E-02,6.38E-02,5.67E-02,4.41E-02,5.16E-02,1.08E-01,1.17E-01,3.06E-02,5.07E-02,7.01E-02,6.58E-02,4.52E-02,1.87E-01,0.0401
2005,7.54E-02,1.43E-01,1.03E-01,6.68E-02,6.95E-02,8.14E-02,5.05E-02,1.56E-02,5.90E-02,9.16E-02,6.79E-02,9.58E-02,9.73E-02,4.75E-02,3.52E-02,5.12E-02,6.50E-02,7.00E-02,1.67E-01,4.13E-02,6.93E-02,4.67E-02,3.80E-02,6.10E-02,5.71E-02,5.02E-02,9.64E-02,5.81E-02,1.25E-01,3.70E-02,5.04E-02,5.65E-02,5.05E-02,7.76E-02,6.20E-02,5.08E-02,9.84E-02,5.80E-02,5.01E-02,4.75E-02,6.15E-02,5.90E-02,5.61E-02,8.96E-02,1.08E-01,2.92E-02,7.81E-02,9.43E-02,7.54E-02,5.46E-02,1.77E-01,0.0447
2004,1.01E-01,1.02E-01,6.67E-02,8.27E-02,6.03E-02,4.10E-02,9.32E-02,7.69E-02,8.36E-02,9.51E-02,6.48E-02,8.69E-02,9.48E-02,5.64E-02,6.34E-02,1.15E-01,3.90E-02,5.90E-02,1.03E-01,6.84E-02,7.06E-02,5.00E-02,3.06E-02,7.21E-02,5.46E-02,5.59E-02,9.51E-02,6.13E-02,1.39E-01,6.35E-02,3.46E-02,1.17E-01,5.99E-02,6.28E-02,5.43E-02,5.30E-02,7.72E-02,7.09E-02,5.87E-02,6.88E-02,4.12E-02,7.55E-02,6.92E-02,9.61E-02,9.04E-02,7.73E-02,6.56E-02,5.09E-02,5.74E-02,6.00E-02,1.05E-01,0.0734
2003,5.21E-02,7.67E-02,7.26E-02,6.18E-02,5.60E-02,3.21E-02,3.15E-02,4.79E-02,5.77E-02,6.78E-02,4.75E-02,7.89E-02,4.70E-02,3.63E-02,5.92E-02,6.66E-02,4.12E-02,4.53E-02,1.09E-01,4.57E-02,5.11E-02,3.10E-02,2.89E-02,5.89E-02,6.79E-02,4.07E-02,7.40E-02,8.12E-02,6.62E-02,5.25E-02,3.85E-02,8.38E-02,2.50E-02,4.21E-02,9.24E-02,3.10E-02,6.27E-02,4.98E-02,4.38E-02,4.84E-02,5.37E-02,3.40E-02,4.78E-02,5.51E-02,4.15E-02,5.03E-02,5.52E-02,3.82E-02,3.20E-02,4.46E-02,1.06E-01,0.0447
2002,3.73E-02,4.43E-02,5.01E-02,4.95E-02,3.10E-02,1.78E-02,1.19E-02,-1.28E-02,6.84E-02,6.54E-02,3.02E-02,4.83E-02,3.16E-02,2.55E-02,3.59E-02,3.92E-02,3.04E-02,4.07E-02,1.38E-02,4.82E-02,5.76E-02,1.67E-02,3.94E-02,3.93E-02,3.11E-02,3.62E-02,4.79E-02,3.04E-02,5.69E-02,4.79E-02,3.33E-02,3.62E-02,1.36E-02,3.39E-02,6.91E-02,3.55E-02,2.49E-02,3.17E-02,3.25E-02,5.43E-02,4.51E-02,1.24E-01,5.00E-02,2.13E-02,3.75E-02,4.92E-02,3.40E-02,3.17E-02,3.66E-02,3.45E-02,2.44E-02,0.0349
2001,2.56E-02,6.30E-02,4.12E-02,2.82E-02,1.38E-02,3.68E-02,3.38E-02,6.09E-02,7.12E-02,5.84E-02,3.90E-02,3.62E-02,-1.56E-02,2.99E-02,8.19E-03,1.85E-02,3.23E-02,3.05E-02,3.97E-02,4.65E-02,7.27E-02,2.80E-02,-6.44E-03,2.35E-02,2.29E-02,2.15E-02,4.44E-02,5.45E-02,4.68E-02,3.25E-02,3.52E-02,1.24E-02,4.42E-02,3.62E-02,4.36E-02,1.19E-02,6.55E-02,-1.63E-03,4.39E-02,4.05E-02,3.61E-02,2.94E-02,2.30E-02,4.70E-02,3.93E-02,5.35E-02,6.39E-02,4.38E-03,3.48E-02,4.29E-02,9.07E-02,0.1217
2000,3.61E-02,8.33E-02,6.01E-02,2.79E-02,9.27E-02,9.95E-02,8.75E-02,7.70E-02,3.87E-02,7.07E-02,5.67E-02,5.40E-02,1.12E-01,5.80E-02,5.52E-02,6.07E-02,5.15E-02,-8.15E-03,5.43E-02,7.20E-02,6.52E-02,9.12E-02,4.09E-02,8.96E-02,2.81E-02,5.01E-02,5.11E-02,5.29E-02,7.31E-02,8.07E-02,7.42E-02,3.94E-02,5.78E-02,4.76E-02,6.05E-02,4.20E-02,8.16E-02,8.86E-02,4.67E-02,6.82E-02,4.61E-02,7.90E-02,3.38E-02,8.65E-02,6.48E-02,6.78E-02,7.47E-02,3.30E-02,1.87E-02,4.76E-02,9.39E-02,0.0667
1999,4.96E-02,2.13E-02,8.69E-02,7.08E-02,8.22E-02,8.94E-02,4.68E-02,8.73E-02,7.30E-02,6.74E-02,8.98E-02,3.64E-02,1.02E-01,5.44E-02,4.77E-02,3.71E-02,4.47E-02,5.23E-02,4.67E-02,7.02E-02,6.05E-02,6.16E-02,8.19E-02,5.31E-02,4.82E-02,4.87E-02,1.88E-02,3.60E-02,9.95E-02,3.46E-02,5.07E-02,4.66E-02,6.67E-02,7.49E-02,1.49E-02,4.10E-02,3.73E-02,2.35E-02,4.59E-02,4.70E-02,6.56E-02,4.21E-02,5.31E-02,5.38E-02,5.98E-02,6.82E-02,7.96E-02,9.56E-02,4.25E-02,5.91E-02,5.66E-02,0.0694
1998,5.15E-02,-6.13E-02,8.33E-02,4.26E-02,7.13E-02,9.81E-02,5.16E-02,1.13E-01,4.40E-02,6.87E-02,9.40E-02,-2.24E-03,5.30E-02,5.06E-02,8.17E-02,2.33E-02,4.98E-02,4.63E-02,3.34E-02,5.02E-02,6.66E-02,5.07E-02,4.29E-02,6.75E-02,4.43E-02,3.87E-02,5.90E-02,4.02E-02,8.06E-02,6.14E-02,3.91E-02,-3.46E-02,3.71E-02,5.54E-02,6.70E-02,5.30E-02,2.72E-02,4.19E-02,4.70E-02,6.53E-02,6.19E-02,6.29E-02,8.43E-02,5.73E-02,8.00E-02,4.05E-02,7.57E-02,8.21E-02,3.19E-02,5.98E-02,1.27E-02,0.1224
1997,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.0000
