Area,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
US,-0.03636,0.0566,0.21429,0.10294,-0.08,-0.11594,-0.08197,-0.03571,-0.09259,-0.08163,-0.06667,-0.04762,0.175,0.23404,0.03448,-0.08333,-0.07273,-0.09804,0,0.26087,0.60345,0.03226,-0.07292,-0.08989,-0.08642,-0.16216,-0.14516
AL,-0.02778,-0.02857,0.07353,0.0411,-0.03947,-0.15068,-0.03226,-0.13333,-0.03846,-0.12,0.06818,-0.02128,0.1087,0.15686,0.01695,-0.05,-0.21053,-0.11111,0,0.425,0.92982,-0.04545,-0.08571,-0.16667,-0.1,-0.05556,-0.10294
AK,-0.20455,0.02857,0.18056,0.04706,-0.13483,-0.01299,-0.03947,0.0411,-0.06579,-0.11268,0.03175,-0.01538,0,0.14063,0.06849,-0.03846,-0.08,-0.04348,-0.04545,0.06349,0.14925,0.02597,-0.03797,-0.06579,-0.01408,-0.01429,-0.05797
AZ,-0.17188,0,0.11321,0.27119,-0.14667,-0.04688,-0.13115,0.0566,-0.17857,-0.06522,0.02326,-0.09091,0.2,0.27083,-0.06557,-0.12281,-0.06,-0.10638,-0.07143,0.58974,0.59677,0.05051,-0.08654,-0.12632,-0.07229,-0.11688,-0.10294
AR,-0.07895,-0.01429,0.07246,-0.04054,-0.14085,-0.11475,-0.11111,0.10417,-0.01887,0,-0.11538,-0.06522,0.16279,0.1,0.07273,-0.0339,-0.08772,0,0.01923,0.03774,0.41818,0.05128,0.0122,-0.08434,-0.05263,-0.16667,-0.16667
CA,-0.03774,0.13725,0.32759,0.20779,0.02151,-0.09474,-0.0814,-0.07595,-0.12329,-0.07813,-0.11864,-0.05769,0.10204,0.24074,0.01493,-0.08824,-0.12903,-0.09259,0.10204,0.35185,0.53425,0.08929,-0.04098,-0.11111,-0.14423,-0.1573,-0.17333
CO,-0.12308,-0.08772,0.01923,0.13208,-0.11667,-0.20755,-0.04762,0.05,-0.16667,0.02857,-0.13889,-0.09677,0.35714,0.44737,0.09091,-0.08333,-0.09091,-0.14,-0.13953,0.2973,0.52083,0.19178,-0.03448,-0.05952,-0.12658,-0.27536,-0.22
CT,0.26667,0.34211,0.27451,0.16923,-0.13158,-0.15152,-0.01786,0,-0.09091,-0.32,-0.14706,-0.17241,0.29167,0.3871,0.25581,-0.07407,-0.02,-0.12245,0.04651,0.26667,0.38596,0.1519,-0.03297,-0.05682,-0.06024,-0.15385,-0.13636
DE,0.12903,0.34286,0.31915,-0.12903,-0.05556,-0.05882,-0.10417,0.18605,-0.21569,-0.075,-0.08108,0.08824,-0.05405,0.14286,0.075,-0.06977,0.025,-0.12195,-0.05556,0.44118,0.69388,0.01205,-0.10714,-0.04,-0.06944,-0.14925,-0.14035
DC,-0.02,0.28571,0.2381,0.10256,-0.01163,-0.05882,0.1,-0.04545,-0.04762,0.05,-0.2381,-0.125,0.125,0.01587,0.0625,0.14706,-0.17949,-0.09375,-0.05172,0.18182,0.43077,0.01075,0.08511,-0.11765,-0.05556,-0.08235,-0.11538
FL,0.09804,0.08929,0.22951,0.09333,-0.13415,-0.09859,-0.14063,-0.05455,-0.07692,-0.10417,-0.09302,-0.05128,0.27027,0.19149,-0.07143,-0.11538,-0.19565,-0.13514,0.25,0.575,0.65079,0.06731,-0.0991,-0.15,-0.15294,-0.125,-0.12698
GA,-0.03509,0,-0.05455,0.32692,-0.13043,-0.13333,-0.07692,-0.02083,-0.02128,-0.06522,-0.09302,-0.07692,0.11111,0.25,-0.04,0,0.10417,-0.11321,-0.04255,0.37778,0.59677,0.06061,-0.02857,-0.09804,-0.1087,-0.13415,-0.15493
HI,-0.21875,0.08,0.07407,0.48276,0.04651,0.22222,0.07273,0.0678,-0.01587,-0.01613,-0.11475,-0.22222,0.07143,-0.06667,-0.02381,-0.17073,-0.14706,-0.10345,0.07692,0.53571,0.67442,-0.04167,-0.01449,-0.11765,-0.18333,-0.10204,-0.18182
ID,-0.11667,0.03774,0.12727,0.03226,-0.0625,-0.1,0,-0.01852,-0.03774,0,-0.03922,-0.04082,0.08511,0.09804,0,-0.125,-0.18367,-0.125,-0.11429,0.64516,0.72549,0.02273,-0.07778,-0.13253,-0.15278,-0.21311,-0.125
IL,-0.10448,0.01667,0.19672,0.08219,-0.06329,-0.21622,-0.10345,0.01923,-0.09434,-0.08333,0,-0.02273,0.23256,0.22642,0.04615,-0.08824,-0.08065,-0.21053,0.11111,0.26,0.61905,0.01961,-0.06731,-0.07216,0,-0.21111,-0.15493
IN,-0.05769,0.08163,0.13208,0.1,-0.18182,-0.09259,-0.06122,-0.1087,-0.14634,-0.11429,-0.03226,0.03333,0.35484,0.2381,0.01923,0.01887,0.01852,-0.09091,-0.08,0.28261,0.74576,0.00971,-0.125,-0.08791,-0.07229,-0.22078,-0.2
IA,-0.06667,0.04762,0.06818,-0.04255,-0.11111,-0.125,-0.02857,0.02941,-0.11429,-0.12903,-0.03704,0,0.26923,0.21212,0.125,0,-0.04444,-0.13953,0,0.13514,0.52381,-0.0625,-0.08333,-0.09091,-0.06,-0.10638,-0.09524
KS,-0.06667,0.02381,0.02326,0.02273,0.11111,-0.02,-0.10204,-0.02273,-0.11628,-0.07895,-0.05714,0.09091,0.16667,0.21429,0.07843,0,-0.09091,-0.12,-0.04545,0.09524,0.5,0.02899,-0.08451,-0.12308,-0.07018,-0.15094,-0.06667
KY,-0.15789,-0.0625,0.21667,-0.05479,-0.10145,-0.12903,0,0.01852,-0.03636,-0.13208,-0.02174,-0.06667,0.2381,0.09615,0.07018,-0.11475,0.09259,-0.0339,-0.05263,0.18519,0.60938,-0.00971,-0.07843,-0.12766,-0.02439,-0.1875,-0.18462
LA,-0.25926,-0.225,0.17742,0.09589,-0.05,0.02632,-0.10256,-0.05714,-0.09091,-0.05,-0.10526,0.03922,0.07547,0.07018,0.04918,-0.07813,0.22034,-0.375,-0.04444,0.13953,0.38776,0.17647,-0.025,-0.08974,-0.05634,-0.04478,-0.01563
ME,0.11111,0.325,0.41509,-0.02667,0,-0.0411,-0.14286,-0.13333,-0.01923,-0.11765,-0.11111,-0.15,0.11765,0.13158,0.16279,-0.08,0.06522,-0.06122,0.02174,0.17021,0.47273,0,-0.02469,-0.05063,-0.12,-0.15152,-0.21429
MD,-0.11628,0.18421,0.35556,0.11475,-0.08824,-0.14516,-0.0566,0,0,-0.12,-0.18182,0,0.11111,0.1,0,-0.02273,-0.04651,-0.04878,-0.10256,0.2,0.66667,0.1,-0.06494,-0.02778,-0.05714,-0.12121,-0.12069
MA,0.27273,0.5,0.36508,-0.01163,-0.17647,-0.14286,-0.11667,-0.16981,-0.11364,-0.15385,-0.0303,-0.15625,0.37037,0.43243,0.07547,-0.10526,-0.05882,0.02083,-0.06122,0.19565,0.47273,0.02469,-0.12048,-0.08219,0,-0.14925,-0.15789
MI,-0.05333,0.07042,0.21053,-0.02174,-0.2,-0.16667,-0.11667,-0.07547,-0.12245,-0.09302,-0.05128,-0.02703,0.44444,0.21154,0.14286,-0.02778,-0.02857,0.02941,0,0.14286,0.7125,-0.08029,-0.1746,-0.125,-0.03297,-0.18182,-0.25
MN,0,0.11628,0.0625,0,-0.01961,-0.18,-0.09756,0.08108,-0.175,-0.18182,0.03704,0.14286,0.1875,0.18421,0.08889,-0.04082,-0.12766,-0.02439,0.15,0.17391,0.44444,-0.05128,-0.12162,-0.13846,-0.10714,-0.16,-0.11905
MS,-0.07143,-0.02564,0.11842,-0.04706,-0.18519,-0.04545,-0.01587,-0.03226,-0.05,-0.07018,-0.03774,0.05882,0.01852,0.2,-0.04545,-0.01587,0.20968,-0.13333,-0.06154,0.08197,0.43939,0.09474,-0.03846,-0.1,-0.05556,-0.11765,-0.14667
MO,-0.03509,0.05455,0.13793,-0.06061,0,-0.17742,-0.07843,0.02128,-0.10417,-0.02326,-0.21429,0.09091,0.27778,0.17391,0.03704,0.05357,-0.08475,-0.11111,0.0625,0.19608,0.52459,0.03226,-0.11458,-0.18824,-0.02899,-0.08955,-0.18033
MT,-0.12121,0.03448,0.15,-0.02899,-0.10448,-0.13333,0.09615,-0.07018,0,0.03774,-0.03636,-0.0566,-0.1,-0.02222,0.06818,0.02128,-0.08333,-0.20455,0.02857,0.41667,0.33333,0.07353,-0.05479,-0.13043,-0.1,-0.12963,-0.10638
NE,-0.19444,-0.2069,0.17391,0.07407,-0.03448,-0.07143,0,0.03846,-0.07407,0.04,0.07692,0,0.10714,0.16129,0.08333,0,-0.02564,-0.18421,-0.03226,0.1,0.39394,0,-0.04348,-0.09091,-0.05,-0.13158,-0.09091
NV,-0.09615,0,0.23404,0.15517,0.01493,-0.08824,-0.09677,-0.10714,-0.12,-0.04545,-0.04762,0.05,0.2381,0.07692,-0.08929,-0.15686,-0.04651,-0.02439,0.125,0.48889,0.68657,0.19469,-0.03704,-0.13846,-0.14286,-0.17708,-0.13924
NH,0.45833,0.62857,0.2807,0,-0.16438,-0.22951,-0.14894,-0.05,-0.13158,-0.15152,-0.03571,0,0.25926,0.32353,-0.04444,-0.11628,-0.05263,-0.05556,0.02941,0.11429,0.58974,-0.06452,-0.06897,0.01852,-0.07273,-0.15686,-0.2093
NJ,0.07895,0.21951,0.34,0.25373,-0.09524,-0.10526,-0.05882,-0.04688,-0.13115,-0.13208,-0.02174,-0.17778,0.16216,0.34884,0,-0.17241,-0.0625,0.04444,-0.08511,0.23256,0.71698,0.04396,-0.02105,0,-0.11828,-0.17073,-0.14706
NM,-0.10667,-0.01493,0.07576,0.01408,-0.02778,-0.07143,0.01538,0.09091,-0.125,-0.03175,-0.08197,-0.125,0,0.12245,0.07273,-0.0678,-0.07273,-0.17647,-0.09524,0.18421,0.66667,0.08,-0.07407,-0.05333,-0.02817,-0.02899,-0.02985
NY,0.16279,0.06,0.35849,0.19444,-0.0814,-0.12658,-0.08696,-0.01587,0.03226,-0.125,-0.07143,-0.13462,0.06667,0.27083,0.04918,-0.09375,-0.13793,-0.1,0.02222,0.17391,0.53704,0.03614,-0.03488,0.0241,-0.09412,-0.18182,-0.15873
NC,-0.02778,0.17143,0.41463,0.03448,-0.16667,-0.12,-0.02273,0,-0.13953,-0.05405,-0.08571,0.15625,0.48649,0.2,-0.0303,-0.14063,-0.05455,-0.09615,0,0.29787,0.7377,0.0283,-0.05505,-0.09709,-0.13978,-0.2125,-0.09524
ND,-0.08511,-0.06977,0.1,0.06818,-0.08511,-0.13953,-0.13514,-0.09375,-0.06897,0.07407,0.13793,-0.09091,-0.03333,0.27586,0,-0.08108,0,-0.05882,-0.03125,0.03226,0.28125,-0.07317,-0.07895,-0.11429,-0.06452,-0.06897,0.03704
OH,-0.08333,0.01818,0.16071,0.13846,-0.10811,-0.15152,-0.14286,0.04167,-0.08,-0.06522,0,-0.06977,0.075,0.32558,0.08772,0.01613,-0.06349,-0.08475,0.03704,0.14286,0.60938,0,-0.14563,-0.15909,0.01351,-0.22667,-0.15517
OK,-0.125,0.01786,0.10526,-0.04762,-0.01667,-0.05085,-0.17857,-0.1087,0,0.04878,-0.18605,-0.14286,0.23333,0.27027,0.17021,-0.10909,-0.08163,-0.11111,0.025,-0.09756,0.72973,0.0625,-0.13235,-0.11864,0.01923,-0.15094,-0.02222
OR,-0.06897,0.01852,0.16364,0.15625,-0.05405,-0.22857,-0.09259,0.16327,0,0,-0.03509,-0.07273,0.2549,0.17188,0.08,-0.09877,-0.15068,-0.14516,-0.01887,0.25,0.73846,-0.06195,-0.10377,-0.07368,-0.10227,-0.13924,-0.17647
PA,-0.06,0.17021,0.27273,0.08571,-0.07895,-0.1,-0.06349,-0.08475,-0.05556,-0.09804,-0.04348,-0.06818,0.17073,0.16667,0.01786,-0.05263,-0.07407,-0.08,-0.04348,0.20455,0.50943,0.0625,-0.07059,-0.01266,-0.05128,-0.2027,-0.10169
RI,0.32258,0.53659,0.36508,0.03488,-0.13483,-0.1039,-0.08696,-0.14286,-0.05556,-0.09804,-0.08696,-0.02381,0.12195,0.08696,0.06,-0.01887,-0.03846,-0.02,0.06122,0.5,0.41026,0.01818,-0.01786,-0.05455,-0.10577,-0.17204,-0.22078
SC,-0.02128,0.04348,0.27083,0.09836,0.08955,-0.15068,-0.16129,0.11538,-0.2069,-0.17391,0.13158,-0.11628,0.36842,0.11538,0.18966,-0.01449,-0.01471,-0.04478,-0.10938,0.19298,0.64706,0,-0.05357,-0.13208,-0.17391,-0.14474,-0.07692
SD,-0.02439,-0.05,-0.07895,-0.05714,0.0303,-0.02941,-0.09091,0.06667,-0.09375,-0.03448,-0.03571,-0.07407,0.24,0.03226,0.09375,0.05714,0.02703,-0.18421,-0.09677,0.10714,0.58065,0.02041,-0.06,-0.08511,-0.11628,-0.10526,-0.08824
TN,-0.12069,0.03922,0.28302,-0.04412,-0.10769,-0.17241,0.08333,0,0.01923,-0.18868,-0.06977,-0.025,0.17949,0.13043,0.07692,-0.05357,0.0566,-0.07143,-0.09615,0.40426,0.59091,-0.07619,-0.07216,-0.13333,0,-0.15385,-0.15152
TX,-0.08219,-0.0597,0.09524,0.10145,-0.05263,-0.09722,-0.06154,-0.06557,-0.07018,-0.07547,-0.04082,-0.08511,0.16279,0.28,0.04688,-0.1194,-0.08475,-0.09259,-0.12245,0.11628,0.58333,0.06579,-0.03704,-0.14103,-0.0597,-0.19048,-0.13725
UT,-0.1,-0.02222,0.06818,0.02128,-0.14583,-0.07317,-0.07895,-0.02857,-0.05882,0.125,-0.02778,-0.05714,0.33333,0.31818,-0.03448,-0.10714,-0.18,-0.26829,-0.13333,0.38462,1.02778,0.06849,-0.14103,-0.19403,-0.14815,-0.17391,-0.05263
VT,0.16667,0.42857,0.32,-0.07576,-0.14754,-0.11538,-0.06522,0,-0.09302,-0.12821,-0.11765,-0.06667,0.17857,0.21212,0.075,-0.13953,-0.05405,0.05714,0.08108,0.175,0.40426,-0.07576,-0.09836,-0.09091,-0.12,-0.11364,-0.07692
VA,0,0.15385,0.31111,0.0678,-0.1746,-0.05769,-0.08163,-0.02222,-0.13636,-0.23684,-0.06897,-0.14815,0.3913,0.3125,-0.02381,-0.07317,-0.05263,-0.13889,-0.03226,0.3,0.71795,0.0597,-0.07042,-0.07576,-0.06557,-0.08772,-0.13462
WA,-0.06349,-0.11864,0.21154,0.15873,0,-0.09589,-0.0303,-0.04688,-0.19672,-0.02041,0.02083,0.06122,0.21154,0.1746,0,-0.14865,-0.11111,-0.10714,-0.06,0.14894,0.7037,0.08696,-0.07,-0.12903,-0.1358,-0.12857,-0.08197
WV,-0.12245,-0.01163,0.24706,0.06604,-0.06195,-0.16981,-0.10227,-0.05063,-0.08,-0.04348,-0.01515,-0.15385,-0.09091,0.18,0.01695,-0.11667,-0.03774,-0.03922,-0.06122,-0.06522,0.7907,0.12987,-0.06897,-0.07407,-0.09333,-0.02941,0.01515
WI,-0.02273,0.02326,0.25,-0.07273,-0.05882,-0.0625,-0.15556,-0.05263,0,-0.05556,-0.08824,0.12903,0.28571,0.2,0.05556,-0.12281,-0.06,0,0.04255,0,0.7551,0.01163,-0.10345,-0.10256,-0.04286,-0.19403,-0.14815
WY,-0.06154,-0.13115,-0.01887,0.07692,-0.05357,-0.0566,-0.04,0.02083,-0.02041,-0.02083,-0.02128,-0.15217,-0.02564,0.05263,0.075,-0.11628,-0.05263,-0.11111,-0.125,0.10714,1.03226,0.01587,-0.09375,-0.08621,-0.11321,-0.12766,0.04878
PR, -0.02667,-0.02740,0.12676,0.04375,0.01796,-0.14118,-0.06164,-0.02190,0.00746,-0.01481,-0.12030,-0.13675,0.12871,0.07895,-0.02439,-0.11667,0.06604,-0.07080,0.06667,0.05357,0.29661,0.07190,-0.02439,-0.09375,-0.01379,-0.02797,-0.13669